,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
4068,0590251597,"Mary Anne Saves The Day (Baby-Sitters Club, 4)",Ann M. Martin,1995,Scholastic
4070,0590251589,"The Truth About Stacey (Baby-Sitters Club, 3)",Ann M. Martin,1995,Scholastic
4071,0590227637,"Claudia And The Phantom Phone Calls (Baby-Sitters Club, 2)",Ann M. Martin,1995,Scholastic
4073,0590224735,Kristy'S Great Idea (The Baby-Sitter'S Club #1),Ann M. Martin,1995,Scholastic
4074,0141301074,The Twits (Puffin Novels),Roald Dahl,1998,Puffin Books
4077,0452278902,The Green Mile: The Complete Serial Novel,Stephen King,1997,Plume Books
4080,1558747699,Chicken Soup For The Writer'S Soul : Stories To Open The Heart And Rekindle The Spirit Of Writers (Chicken Soup For The Soul),Jack Canfield,2000,Health Communications
4081,067102423X,Bag Of Bones,Stephen King,1999,Pocket
4087,0345334531,Feast Of All Saints,Anne Rice,1986,Ballantine Books
4113,0486264785,The Importance Of Being Earnest (Dover Thrift Editions),Oscar Wilde,1990,Dover Publications
4118,0553550039,The Stories Of Eva Luna,Isabel Allende,1992,Bantam Books
4137,0140620524,The Adventures Of Tom Sawyer (Penguin Popular Classics),Mark Twain,1994,Penguin Books Ltd
4148,0192815466,Persuasion (World'S Classics),Jane Austen,1981,Oxford University Press
4162,0373483880,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts,1998,Silhouette
4173,0553582755,One Door Away From Heaven,Dean R. Koontz,2002,Bantam Books
4177,0439099404,Adventures Of Tom Sawyer,Mark Twain,1999,Scholastic
4180,044651652X,The Bridges Of Madison County,Robert James Waller,1992,Warner Books
4208,0590461001,The Hitchhiker (Point),R. L. Stine,1993,Scholastic
4236,1573225517,High Fidelity,Nick Hornby,1996,Riverhead Books
4275,0451147367,"The Bachman Books: Rage, The Long Walk, Roadwork, The Running Man",Stephen King,1991,New Amer Library
4301,068487217X,Angelas Ashes: A Memoir,Frank McCourt,1999,Scribner
4339,1593080255,The Picture Of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports
4348,9500720418,Eva Luna - Bolsillo,Isabel Allende,2001,Sudamericana
4386,0590482378,"Stacey And The Bad Girls (Baby-Sitters Club, 87)",Ann M. Martin,1995,Scholastic
4387,0590482238,"Mary Anne Breaks The Rules (Baby-Sitters Club, 79)",Ann M. Martin,1994,Scholastic Paperbacks
4392,051512608X,The Reef,Nora Roberts,1999,Jove Books
4416,8420604690,Mas Cuentos De Los Viudos Negras,Isaac Asimov,1993,Alianza
4449,1551668912,Thursday'S At Eight,Debbie Macomber,2002,Mira
4460,042515601X,Acts Of War (Tom Clancy'S Op Center (Paperback)),Tom Clancy,1997,Berkley Publishing Group
4463,0140293442,Fever Pitch,Nick Hornby,2000,Penguin Books Ltd
4473,0451099648,Firestarter (Signet Book),Stephen King,1981,New Amer Library
4502,0345409671,"Memnoch The Devil (Vampire Chronicles, No 5)",Anne Rice,1997,Ballantine Books
4506,0886771544,Lythande,Marion Zimmer Bradley,1986,Daw Books
4514,0395272238,The Fellowship Of The Ring (Lord Of The Rings (Paperback)),J. R. R. Tolkien,1988,Houghton Mifflin
4542,0373711646,"Those Christmas Angels (Harlequin Superromance, 1164)",Debbie Macomber,2003,Harlequin
4544,0515132020,Heaven And Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
4546,0515131229,Dance Upon The Air (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
4578,0684872153,Angela'S Ashes (Mmp) : A Memoir,Frank McCourt,1999,Scribner
4600,0373285043,With Open Arms (Silhouette Single Title),Nora Roberts,2004,Silhouette
4700,0965881199,The Diaries Of Adam And Eve,Mark Twain,1998,Fair Oaks Press
4701,1573928275,The Diaries Of Adam And Eve (Literary Classics),Mark Twain,2000,Prometheus Books
4723,0345391055,Disclosure,Michael Crichton,1994,Ballantine Books
4725,0312979479,And Then There Were None : A Novel,Agatha Christie,2001,St. Martin's Paperbacks
4817,0670813028,It,Stephen King,1986,Viking Books
4832,0441317480,Hard Sell,Piers Anthony,1993,Ace Books
4849,0441662382,Phthor,Piers Anthony,1988,Ace Books
4857,0345313151,Bearing An Hourglass (Incarnations Of Immortality (Paperback)),Piers Anthony,1991,Del Rey Books
4859,0345305183,On A Pale Horse,Piers Anthony,1984,Ballantine Books
4861,0451132343,Firestarter,Stephen King,1984,Signet Book
4862,0345279255,Castle Roogna,Piers Anthony,1979,Ballantine Books
4863,0451131312,Night Shift/Children Of Corn,Stephen King,1984,Signet Book
4868,8440691491,El Testamento,John Grisham,1999,Ediciones B
4885,0553582925,Tick Tock,Dean R. Koontz,2000,Bantam Books
4896,0671722948,Twelfth Night,William Shakespeare,1993,Washington Square Press
4918,345386980X,Der Richter.,John Grisham,2003,Heyne
4924,1573227331,About A Boy,Nick Hornby,1999,Riverhead Books
4926,0451526767,"Twelfth Night, Or, What You Will: With New And Updated Critical Essays And A Revised Bibliography (The Signet Classic Shakespeare)",William Shakespeare,1998,Signet Book
4941,0066214122,Prey: A Novel,Michael Crichton,2002,HarperCollins
4984,0451183665,A Case Of Need,Michael Crichton,1994,Signet Book
5002,0312869061,Swell Foop (Xanth Novels (Hardcover)),Piers Anthony,2001,Tor Books
5020,0373484887,Hidden Star (The Star Series),Nora Roberts,2001,Silhouette
5050,0671004530,On The Street Where You Live,Mary Higgins Clark,2002,Pocket
5061,3462025864,Fever Pitch. Ballfieber - Die Geschichte Eines Fans.,Nick Hornby,2002,Kiepenheuer &amp; Witsch
5079,2253171395,Une Si Longue Nuit,Mary Higgins Clark,2000,LGF
5081,2253054747,Ne Pleure Pas Ma Belle,Mary Higgins Clark,1990,LGF
5232,0553293400,The Caves Of Steel,Isaac Asimov,1991,Bantam
5240,0515093556,Belinda,Anne Rice,1994,Jove Books
5258,0140049975,East Of Eden,John Steinbeck,1984,Penguin Books
5263,014062080X,The Scarlet Letter (Penguin Popular Classics),Nathaniel Hawthorne,1994,Penguin Books Ltd
5265,0425174808,Tom Clancy'S Op-Center: Divide And Conquer (Tom Clancy'S Op Center (Paperback)),Tom Clancy,2000,Berkley Publishing Group
5266,0061002860,The Murder Of Roger Ackroyd,Agatha Christie,1991,Harpercollins
5288,0142000671,Of Mice And Men,John Steinbeck,2002,Penguin Books
5317,0451528697,Bleak House (Signet Classics (Paperback)),Charles Dickens,2003,Signet Classics
5323,0140433988,Hard Times,Charles Dickens,1998,Penguin USA (Paper)
5379,0441231942,Crisis On Doona,Anne McCaffrey,1992,Ace Books
5431,0439139597,Harry Potter And The Goblet Of Fire (Book 4),J. K. Rowling,2000,Scholastic
5461,034540047X,The Hotel New Hampshire,John Irving,1995,Ballantine Books
5506,043935806X,Harry Potter And The Order Of The Phoenix (Book 5),J. K. Rowling,2003,Scholastic
5547,0671721135,Through The Ice,Piers Anthony,1992,Baen
5549,042513525X,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group
5554,0451156609,The Tommyknockers,Stephen King,1994,Signet Book
5558,0590298364,"Sunny (California Diaries, 2)",Ann M. Martin,1997,Scholastic
5579,1400031354,Tears Of The Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
5591,0590477412,"Deep Trouble (Goosebumps, No 19)",R. L. Stine,1996,Scholastic
5594,0425068064,Three Blind Mice And Other Stories,Agatha Christie,1997,Berkley Publishing Group
5595,0312975120,The Unexpected Guest: A Mystery,Agatha Christie,2000,St. Martin's Press
5596,0590433865,"Good-Bye Stacey, Good-Bye (Baby-Sitters Club (Paperback))",Ann M. Martin,1993,Scholastic Paperbacks
5598,0590433857,"Hello, Mallory",Ann M. Martin,1988,Scholastic Paperbacks
5620,0141439696,Complete Short Fiction (Penguin Classics),Oscar Wilde,2003,Penguin Books
5630,8433920863,Relatos De Los Inesperado,Roald Dahl,1995,Anagrama
5643,2253048852,"Les Dames Du Lac, Tome 2 : Les Brumes D'Avalon",Marion Zimmer Bradley,1989,LGF
5644,2253044911,"Les Dames Du Lac, Tome 1",Marion Zimmer Bradley,1988,LGF
5653,0380821214,Eric (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch
5662,0440241073,The Summons,John Grisham,2002,Dell Publishing Company
5666,0451190521,The Green Mile: The Mouse On The Mile (Green Mile Series),Stephen King,1996,Signet Book
5667,0451190491,The Two Dead Girls (Green Mile Series),Stephen King,1996,Signet Book
5723,3426600218,Dinopark/Jurassic Park,Michael Crichton,1994,Distribooks Inc
5746,0553211234,The Pickwick Papers,Charles Dickens,1983,Bantam Books
5754,1558746986,Chicken Soup For The Unsinkable Soul - Stories Of Triumphing Over Life'S Obstacles,Jack Canfield,1999,Health Communications
5770,0448095149,"The Whispering Statue (Nancy Drew Mystery Stories, No 14)",Carolyn Keene,1970,Grosset &amp; Dunlap
5793,3502506809,Schicksal In Person/Nemesis,Agatha Christie,1994,Distribooks Inc
5794,3453127013,Der Regenmacher.,John Grisham,1997,Heyne
5841,0425068099,The Witness For The Prosecution And Other Stories,Agatha Christie,1996,Berkley Publishing Group
5845,0679405283,The Tale Of The Body Thief (Vampire Chronicles),Anne Rice,1992,Alfred A. Knopf
5848,0515137111,Birthright,Nora Roberts,2004,Jove Books
5857,880781000X,La Casa Degli Spiriti,Isabel Allende,1995,Feltrinelli
5867,0345389964,A Son Of The Circus,John Irving,1995,Ballantine Books
5923,1558748040,"Chicken Soup For The Teenage Soul Letters - Letters Of Life, Love And Learning (Chicken Soup For The Teenage Soul)",Jack Canfield,2001,Health Communications
5932,0886779960,"Sword And Sorceress 18 (Sword And Sorceress, 18)",Marion Zimmer Bradley,2001,Daw Books
5966,0425153975,The Eyes Of Darkness,Dean R. Koontz,1996,Berkley Publishing Group
5989,0425178579,Betrayal In Death,Nora Roberts,2001,Berkley Publishing Group
5995,044808919X,Disappearing Floor (Hardy Boys Mystery Stories),Franklin W. Dixon,1940,Grosset &amp; Dunlap
5996,0448089165,Figure In Hiding (The Hardy Boys 16),Franklin W. Dixon,1937,Grosset &amp; Dunlap
6065,0451210840,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,2003,New American Library
6087,0399138439,"Three Complete Novels: Lightning, The Face Of Fear, The Vision",Dean R. Koontz,1993,Putnam Pub Group
6096,0451167317,The Dark Half,Stephen King,1994,Signet Book
6117,0766607208,Treasury Of Illustrated Classics: Adventures Of Huckleberry Finn,Mark Twain,2002,Modern Publishing
6132,014070731X,Antony And Cleopatra (New Penguin Shakespeare Series),William Shakespeare,1981,Penguin Books
6138,0345396936,Cry To Heaven,Anne Rice,1995,Ballantine Books
6141,0671722840,Richard Iii,William Shakespeare,1996,Washington Square Press
6151,0590466178,"Night Of The Living Dummy (Goosebumps, No 7)",R. L. Stine,1995,Scholastic
6162,0451524195,Sense And Sensibility (Signet Classic),Jane Austen,1989,Signet Classics
6180,0679454489,Merrick (Vampire Chronicles),Anne Rice,2000,Alfred A. Knopf
6181,0679454470,"The Vampire Armand : The Vampire Chronicles (Rice, Anne, Vampire Chronicles)",Anne Rice,1998,Alfred A. Knopf
6232,0345384911,Crystal Line,Anne McCaffrey,1993,Del Rey Books
6235,0451191013,The Regulators,Stephen King,2002,Signet Book
6237,0886772370,The Spell Sword,Marion Zimmer Bradley,1987,Daw Books
6258,0671701231,The Anastasia Syndrome,Mary Higgins Clark,1991,Pocket
6295,0373484232,Stanislaski Sisters,Nora Roberts,2001,Silhouette
6326,0590523465,"Welcome Home, Mary Anne (Baby-Sitters Club Friends Forever, 11)",Ann M. Martin,2000,Scholastic
6332,0590673181,"The Deadly Experiments Of Dr. Eeek (Give Yourself Goosebumps, No 4)",R. L. Stine,1996,Scholastic
6340,0590483463,Revenge Of The Lawn Gnomes (Goosebumps #34),R. L. Stine,1995,Scholastic
6368,0380752891,"Man From Mundania (Xanth Trilogy, No 12)",Piers Anthony,1990,Harper Mass Market Paperbacks
6379,0451163524,"The Drawing Of The Three (The Dark Tower, Book 2)",Stephen King,1997,Signet Book
6380,0451194861,"Wizard And Glass (The Dark Tower, Book 4)",Stephen King,1998,Signet Book
6384,0140187375,Cannery Row (Twentieth-Century Classics),John Steinbeck,1994,Penguin Books
6385,0451166582,The Eyes Of The Dragon,Stephen King,2001,Signet Book
6416,0425105695,The Moving Finger (Miss Marple Mysteries (Paperback)),Agatha Christie,1994,Berkley Publishing Group
6424,1853260045,Great Expectations (Wordsworth Classics),Charles Dickens,1997,Wordsworth Editions Ltd
6435,0590477420,"The Scarecrow Walks At Midnight (Goosebumps, No 20)",R. L. Stine,1995,Scholastic
6436,0590477447,"Ghost Beach (Goosebumps, No 22)",R. L. Stine,1995,Scholastic
6462,0521426219,Macbeth (Cambridge School Shakespeare),William Shakespeare,1993,Cambridge University Press
6466,0812516001,The Inheritor,Marion Zimmer Bradley,1984,Tor Books
6511,0345272609,The Return Of The King,J. R. R. Tolkien,1977,Not Avail
6512,0345272595,The Two Towers,J. R. R. Tolkien,1977,Not Avail
6513,0345272587,The Fellowship Of The Ring,J. R. R. Tolkien,1977,Not Avail
6569,0448095041,"The Mystery At Lilac Inn (Nancy Drew Mystery Stories, No 4)",Carolyn Keene,1982,Grosset &amp; Dunlap
6570,044809505X,"The Secret Of Shadow Ranch (Nancy Drew Mystery Stories, No 5)",Carolyn Keene,1965,Grosset &amp; Dunlap
6595,0425067866,The Man In The Brown Suit (Agatha Christie Mysteries Collection (Paperback)),Agatha Christie,1994,Berkley Publishing Group
6616,0679433023,Violin,Anne Rice,1997,Alfred A. Knopf
6626,0140714545,The Tragical History Of Hamlet Prince Of Denmark (Pelican Shakespeare),William Shakespeare,2001,Penguin Books
6646,0821761730,Annie'S Rainbow (Zebra Contemporary Romance),Fern Michaels,1999,Zebra Books
6648,0425121259,The Servants Of Twilight,Dean R. Koontz,1996,Berkley Publishing Group
6679,0446517984,Old Songs In A New Cafe : Selected Essays,Robert James Waller,1994,Warner Books
6681,0373834284,Rebellion,Nora Roberts,1999,Harlequin
6718,042513024X,The A.B.C. Murders,Agatha Christie,1993,Berkley Publishing Group
6723,3518383973,Eva Luna.,Isabel Allende,2003,Suhrkamp
6724,0552133256,Strata,Terry Pratchett,1988,Corgi Adult
6791,1400031362,Morality For Beautiful Girls (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
6819,1853260150,Picture Of Dorian Gray (Wordsworth Classics),Oscar Wilde,1997,NTC/Contemporary Publishing Company
6821,0140010211,Lord Arthur Savile'S Crime And Other Stories (Penguin Modern Classics),Oscar Wilde,1992,Penguin USA
6838,0440195934,Where Are The Children,Mary Higgins Clark,1976,Bantam Doubleday Dell
6849,155874424X,Chicken Soup For The Soul At Work (Chicken Soup For The Soul Series (Paper)),Jack Canfield,1996,Health Communications
6852,014032870X,"Charlie And The Great Glass Elevator: The Further Adventures Of Charlie Bucket And Willie Wonka, Chocolate-Maker Extraordinary",Roald Dahl,1988,Puffin Books
6872,0345449347,The Fourth Hand,John Irving,2002,Ballantine Books
6926,0679412956,Lasher,Anne Rice,1993,Alfred A. Knopf
6929,0399137734,Dragon Tears,Dean R. Koontz,1993,Putnam Pub Group
6970,0743204239,Lo Es : Una Memoria,Frank McCourt,2000,Fireside
7040,0140431020,Lady Susan ; The Watsons ; Sanditon (Penguin English Library),Jane Austen,1975,Penguin Books
7082,0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
7147,1400031346,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2002,Anchor (UK)
7167,0345389417,Servant Of The Bones,Anne Rice,1998,Ballantine Books
7168,0425147584,Debt Of Honor (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group
7187,0684853523,On Writing,Stephen King,2000,Scribner
7193,0373484518,Midnight Clear (3 Novels In 1),Debbie Macomber,2001,Silhouette
7196,0345339495,Nerilka'S Story (Dragonriders Of Pern (Paperback)),Anne McCaffrey,1995,Del Rey Books
7208,0345404319,Taltos: Lives Of The Mayfair Witches,Anne Rice,1996,Ballantine Books
7211,0688086888,"And Eternity (Incarnations Of Immortality Series, Book 7)",Piers Anthony,1990,Harpercollins
7212,0312864663,Dream A Little Dream,Piers Anthony,1999,Tor Books
7224,0425098451,N Or M?,Agatha Christie,1996,Berkley Publishing Group
7257,0671627759,Ride Thunder,Janet Dailey,1986,Pocket
7259,0316171638,Tangled Vines,Janet Dailey,1993,"Little, Brown"
7261,8483100959,Una Mujer Dificil,John Irving,1999,Tusquets
7265,3257211945,Das Hotel New Hampshire,John Irving,1998,Diogenes Verlag AG
7272,0140320431,Charlie And The Great Glass Elevator (Puffin Story Books),Roald Dahl,1975,Puffin Books
7282,0451168615,Skeleton Crew,Stephen King,1986,Signet Book
7290,1853260002,Pride &Amp; Prejudice (Wordsworth Classics),Jane Austen,1997,NTC/Contemporary Publishing Company
7305,0425099334,Shattered,Dean R. Koontz,1993,Berkley Publishing Group
7324,0684853507,Bag Of Bones : A Novel,Stephen King,1998,Scribner
7379,0671656155,The Fall Of Atlantis,Marion Zimmer Bradley,1987,Baen
7381,0808514121,East Of Eden (Penguin Twentieth-Century Classics),John Steinbeck,1999,Sagebrush Education Resources
7392,1558008764,Slow Waltz In Cedar Bend (Unabridged),Robert James Waller,1993,Audio Literature
7401,039915079X,The Teeth Of The Tiger,Tom Clancy,2003,G. P. Putnam's Sons
7442,0373483937,Long Tall Texans: Emmett-Regan-Burke,Diana Palmer,1999,Harlequin
7459,0373218125,Mysterious,Nora Roberts,2003,Silhouette
7564,0373970196,Twist Of Fate,Jayne Ann Krentz,1986,Worldwide Library
7566,0515129224,Soft Focus,Jayne Ann Krentz,2000,Jove Books
7567,0671676237,The Golden Chance,Jayne Ann Krentz,1990,Pocket
7584,0515130923,Dawn In Eclipse Bay,Jayne Ann Krentz,2001,Jove Books
7594,0778320286,Changing Habits (Mira),Debbie Macomber,2004,Mira
7597,0373218877,Navy Woman (Silhouette Single Title),Debbie Macomber,2004,Silhouette
7610,0689839618,Great Expectations,Charles Dickens,2000,Aladdin
7619,0515121843,Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books
7649,0671039415,Fearless #1,Francine Pascal,1999,Simon Pulse
7660,0399147837,Shadow Warriors: Inside The Special Forces,Tom Clancy,2002,Putnam Publishing Group
7665,0743206029,On The Street Where You Live : A Novel,Mary Higgins Clark,2001,Simon &amp; Schuster
7667,0515136263,Chesapeake Blue,Nora Roberts,2004,Jove Books
7682,0670451932,Cujo,Stephen King,1981,Viking Books
7706,1551665557,Family Way,Jayne Ann Krentz,1999,Mira
7713,0345401964,Exit To Eden,Anne Rice,1996,Ballantine Books
7754,0061020702,The Light Fantastic (Discworld Novels (Paperback)),Terry Pratchett,2000,HarperTorch
7757,0061057649,Feet Of Clay (Discworld Novels (Paperback)),Terry Pratchett,1997,HarperTorch
7758,0425100650,Twilight Eyes,Dean R. Koontz,1995,Berkley Publishing Group
7765,0373218036,"Truly, Madly Manhattan",Nora Roberts,2003,Silhouette
7784,0515131741,Lost And Found,Jayne Ann Krentz,2001,Jove Books
7785,0515136182,Light In Shadow,Jayne Ann Krentz,2003,Jove Books
7802,0671019619,Grand Passion,Jayne Ann Krentz,1997,Pocket
7803,0446363731,Midnight Jewels,Jayne Ann Krentz,1992,Warner Books
7804,0671019651,Hidden Talents,Jayne Ann Krentz,1997,Pocket
7805,0671523074,Eye Of The Beholder,Jayne Ann Krentz,1999,Pocket
